id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5naYe7rLMZcLfO1DKg48MK,All Day And Night,"Jax Jones, Martin Solveig, Madison Beer, Europa","['4Q6nIcaBED8qUel8bBx6Cr', '1bj5GrcLom5gZFF5t949Xl', '2kRfqPViCqYdSGhYSM9R0Q', '2NlKrNMdpYxGjt3Pvw87rC']",dance pop disco house edm electro house filter house house pop dance tropical house vocal house alt z dance pop electropop pop postteen pop dance pop edm electro house house pop pop dance pop rap postteen pop tropical house uk dance,2019,169.467,71,0.567,0.765,1,55.893,0,0.108,0.317,0.0,0.14,0.541,121.924
1QOMoYQmiPJsxNemXcblen,De Cero,Morat,['5C4PDR4LnhZTbVnKWXuDKD'],colombian pop latin latin pop,2021,187.116,71,0.602,0.811,0,56.872,1,0.0362,0.0766,0.0,0.273,0.807,159.829
2sLS4tVaEoMYrNS67PVz0V,She Will Be Loved - Acoustic,Maroon 5,['04gDigrS5kc9YWfZHwBETP'],pop pop rock,2004,276.787,71,0.618,0.504,11,50.672,0,0.0319,0.496,4.73e-06,0.698,0.58,98.12
4sjiIpEv617LDXaidKioOI,223's (feat. 9lokknine),"YNW Melly, 9lokknine","['1cNDP5yjU5vjeR8qMf4grg', '0ceH34CATvfgphxnLRWFkm']",melodic rap trap florida rap,2019,176.64,71,0.932,0.547,0,52.213,0,0.333,0.0388,0.0,0.0924,0.695,94.998
5zRusJsWuFeLu2sICWvVDF,Imposible Amor,"Matisse, Guaynaa","['77aLk6J8ofnVxa1eXK9jiU', '0BqURncJM5B1BBu7UM51eq']",latin reggaeton reggaeton flow trap latino latin arena pop latin pop mexican pop,2020,188.086,71,0.647,0.743,6,55.602,0,0.324,0.0918,0.0,0.0962,0.472,177.828
4WXFDVe299Po8ih6Np54n2,Wolf in Sheep's Clothing (feat. William Beckett),Set It Off,['06bDwgCHeMAwhgI8il4Y5k'],alt z electropowerpop modern rock otacore pixie pop punk rock,2014,187.88,71,0.445,0.907,11,56.106,0,0.0773,0.00161,0.0,0.403,0.71,165.069
4Hqh0dS4x07zuRw6eBTO7p,20/20,Lil Tjay,['6jGMq4yGs7aQzuGsMgVgZR'],brooklyn drill melodic rap nyc rap,2020,230.448,71,0.886,0.336,4,47.221,1,0.239,0.557,0.0,0.0933,0.536,100.044
1bra22ihn1UyVyilRRcpy2,Candela,"Super Yei, Jone Quest, Killatonez, Ñengo Flow, Juanka","['6HqgxkTt9KGyt27zYrwVan', '6wcKDqJRY3TzbcdRKo6EiE', '4nHQ8aSEmbYpjIsgs7CmnB', '12vb80Km0Ew53ABfJOepVz', '3Wb38LDP3N4tkobValgE9D']", latin hip hop reggaeton flow latin latin hip hop reggaeton reggaeton flow trap latino tropical latin reggaeton reggaeton flow trap latino reggaeton reggaeton flow trap latino,2020,262.4,71,0.746,0.851,1,56.258,0,0.101,0.16,0.0,0.286,0.838,169.967
2mRwodUOATBk5spcUsEidB,La Última Canción,Rels B,['2IMZYfNi21MGqxopj9fWx8'],rb en espanol spanish hip hop trap latino urbano espanol,2020,184.749,71,0.793,0.605,1,55.048,0,0.119,0.426,0.0,0.334,0.268,91.068
786dSB84yrSaICJwCT7VxP,香水,Eito,['32QmJ5obSke8YKDbQvVPUx'],jpop japanese teen pop,2020,255.227,71,0.85,0.34,3,52.63,1,0.042,0.824,0.0,0.0882,0.774,121.759
