id,followers,genres,name,popularity
26dSoYclwsYLMAKD3tpOr4,8877968.0,dance pop pop pop rap postteen pop,Britney Spears,84
23zg3TcAtWQy7J6upgbUnj,8618393.0,atl hip hop dance pop pop rb south carolina hip hop urban contemporary,Usher,84
5Rl15oVamLq7FbSb0NNBNy,7374968.0,boy band dance pop electropop pop postteen pop,5 Seconds of Summer,84
2nszmSgqreHSdJA3zWPyrW,6766040.0,bolero latin latin pop,Luis Miguel,84
64M6ah0SkkRsnPGtGiRAbb,6298454.0,alt z dance pop electropop pop pop rap postteen pop,Bebe Rexha,84
1sBkRIssrMs1AbVkOJbc7a,4748156.0,dirty south rap gangster rap hip hop pop rap rap southern hip hop trap,Rick Ross,84
699OTQXzgjhIYAHMy9RyPD,4576430.0,atl hip hop rap trap,Playboi Carti,84
1wZtkThiXbVNtj6hee6dz9,4358079.0,electro latino latin latin hip hop reggaeton trap latino tropical,Wisin & Yandel,84
5JZ7CnR6gTvEMKX4g70Amv,4154949.0,electropop pop postteen pop,Lauv,84
2jku7tDXc6XoB6MO2hFuqg,3615910.0,canadian hip hop hip hop melodic rap pop rap rb rap toronto rap trap,Tory Lanez,84
0KPX4Ucy9dk82uj4GpKesn,3338975.0,latin rb en espanol reggaeton trap latino,Dalex,84
0z4gvV4rjIZ9wHck67ucSV,2701496.0,dance pop,Akon,84
3t5xRXzsuZmMDkQzgOX35S,2699875.0,dance pop deep euro house deep house edm german dance pop pop dance tropical house,Robin Schulz,84
7rkW85dBwwrJtlHRDkJDAC,2458760.0,canadian hip hop melodic rap pop rap rap toronto rap trap,NAV,84
0iEtIxbK0KxaSlF7G42ZOp,2448692.0,hip hop pop rap rap southern hip hop trap,Metro Boomin,84
1TtXnWcUs0FCkaZDPGYHdf,1936647.0,latin latin hip hop reggaeton reggaeton flow trap latino,Darell,84
45TgXXqMDdF8BkjA83OM7z,1863718.0,florida rap,Rod Wave,84
5hdhHgpxyniooUiQVaPxQ0,1717618.0,latin reggaeton trap latino tropical,Nio Garcia,84
1zNqQNIdeOUZHb8zbZRFMX,1149461.0,melodic rap pop rap trap,Swae Lee,84
2LIk90788K0zvyj2JJVwkJ,832196.0,deep underground hip hop kentucky hip hop pop rap rap,Jack Harlow,84
0n6sKrG0xKAf8xmdqeNGke,12177.0,latin reggaeton reggaeton flow trap latino,Los Legendarios,84
3qm84nBOXUEQ2vnTfUTTFC,20214651.0,glam metal hard rock rock,Guns N' Roses,83
1yR65psqiazQpeM79CcGh8,19554042.0,sertanejo,Marília Mendonça,83
60d24wfXkVzDSfLS6hyCjZ,14588353.0,dance pop dutch edm edm electro house pop pop dance progressive house tropical house,Martin Garrix,83
0k17h0D3J5VfsdmQ1iZtE9,14343532.0,album rock art rock classic rock progressive rock psychedelic rock rock symphonic rock,Pink Floyd,83
1elUiq4X7pxej6FRlrEzjM,14295733.0,sertanejo sertanejo universitario,Jorge & Mateus,83
7oPftvlwr6VrsViSDV7fJY,12001735.0,permanent wave pop punk punk,Green Day,83
20JZFwl6HVl6yg8a4H3ZqK,10632209.0,baroque pop emo modern rock,Panic! At The Disco,83
1ZwdS5xdxEREPySFridCfh,10311655.0,g funk gangster rap hip hop rap west coast rap,2Pac,83
22bE4uQ6baNwSHPVcDxLCe,10060904.0,british invasion classic rock rock,The Rolling Stones,83
2QsynagSdAqZj3U9HgDzjD,9382373.0,reggae roots reggae,Bob Marley & The Wailers,83
0X2BH1fck6amBIoJhDVmmJ,9339948.0,dance pop edm electropop indietronica metropopolis pop postteen pop tropical house uk pop,Ellie Goulding,83
4UXqAaa6dQYAk18Lv7PEgX,8743699.0,emo modern rock pop punk,Fall Out Boy,83
7n2Ycct7Beij7Dj7meI4X0,8676701.0,kpop kpop girl group,TWICE,83
0jnsk9HBra6NMjO2oANoPY,8032745.0,dance pop miami hip hop pop pop rap,Flo Rida,83
1zNqDE7qDGCsyzJwohVaoX,7519267.0,dance pop pop pop dance postteen pop tropical house uk pop,Anne-Marie,83
540vIaP2JwjQb9dm3aArA4,7310355.0,dance pop edm electronic trap pop pop dance,DJ Snake,83
46SHBwWsqBkxI7EeeBEQG7,6912157.0,florida rap hip hop melodic rap miami hip hop rap southern hip hop trap,Kodak Black,83
17lzZA2AlOHwCwFALHttmp,6267865.0,atl hip hop gangster rap hip hop pop rap rap southern hip hop trap,2 Chainz,83
5me0Irg2ANcsgc93uaYrpb,6231783.0,east coast hip hop gangster rap hardcore hip hop hip hop rap,The Notorious B.I.G.,83
1GDbiv3spRmZ1XdM1jQbT7,5803207.0,latin latin pop rap latina reggaeton trap latino tropical,Natti Natasha,83
0vR2qb8m9WHeZ5ByCbimq2,5675082.0,latin latin arena pop latin pop mexican pop,Reik,83
5y2Xq6xcjJb2jVM54GHK3t,5610565.0,neo soul pop pop soul rb urban contemporary,John Legend,83
4xRYI6VqpkE3UwrDrAZL8L,5302006.0,conscious hip hop dmv rap hip hop pop rap rap,Logic,83
33ScadVnbm2X8kkUqOkC6Z,5261340.0,latin latin hip hop puerto rican pop reggaeton trap latino tropical,Don Omar,83
0hEurMDQu99nJRq8pTxO14,5013203.0,neo mellow pop pop rock singersongwriter,John Mayer,83
5INjqkS1o8h1imAzPqGZBb,4839789.0,australian psych neopsychedelic,Tame Impala,83
02kJSzxNuaWGqwubyUba0Z,4816750.0,hip hop indie pop rap oakland hip hop pop rap rap,G-Eazy,83
