id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0ecC8p17cDNlxHXkuYqeR6,Surrender,Natalie Taylor,['2WxjxdeF7GGdcCK276qViY'],,2019,183.103,80,0.39,0.448,5,51.43,0,0.0276,0.8,0.182,0.107,0.077,144.89
4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,Bazzi,['4GvEc3ANtPPjt1ZJllr5Zl'],dance pop electropop pop postteen pop,2019,165.714,80,0.812,0.519,2,55.177,1,0.0385,0.379,0.0,0.13,0.554,104.954
77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),Taylor Swift,['06HL4z0CvFAxyc27GXpf02'],pop postteen pop,2021,241.592,80,0.569,0.741,5,55.037,1,0.0282,0.0122,0.0,0.333,0.43,100.118
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,['4r63FhuTkUYltbVAg5TQnk'],north carolina hip hop rap,2019,163.32,80,0.876,0.662,2,53.518,0,0.426,0.0608,0.0,0.127,0.844,75.445
3cfOd4CMv2snFaKAnMdnvK,All Star,Smash Mouth,['2iEvnFsWxR0Syqu2JNopAd'],alternative rock pop rock,1999,200.373,80,0.731,0.867,11,54.119,1,0.032,0.0395,0.0,0.0861,0.776,104.019
1wPAOYQJcGSqvXkqcQHExr,Solo,"Omar Montes, Ana Mena, Maffio","['3lY9Fxceu60W1rbon7PkuF', '6k8mwkKJKKjBILo7ypBspl', '5RzT7CM6Ot0sh0EHefMicV']",flamenco urbano trap latino urbano espanol latin pop spanish pop dominican pop tropical,2021,204.044,79,0.765,0.841,10,57.667,0,0.0399,0.0372,0.000406,0.0766,0.921,96.99
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,P!nk,['1KCSPY1glIKqW2TotWuXOR'],dance pop pop postteen pop,2010,202.96,79,0.7,0.709,7,54.994,1,0.0839,0.0048,0.0,0.0289,0.625,122.019
360oH1CqXe9XXzbbi6hvyr,Le temps,Tayc,['7gU9VyFRN3JWPJ5oHOil60'],francoton pop urbaine,2021,197.241,79,0.594,0.597,6,53.916,1,0.165,0.105,0.000103,0.0748,0.639,201.906
7bPWdJgx8vek7S5i5yAtvG,Chemtrails Over The Country Club,Lana Del Rey,['00FQb4jTyendYWaN8pK0wa'],art pop pop,2021,271.177,79,0.334,0.276,4,46.875,0,0.0643,0.877,0.000249,0.113,0.429,201.025
2kONpeXXK70YEs7c0UQbmq,Dancing With The Devil,Demi Lovato,['6S2OmqARrzebs0tKUEyXyp'],dance pop pop postteen pop,2021,243.992,79,0.413,0.64,8,54.189,1,0.0427,0.273,0.0,0.11,0.149,75.245
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,['3IYUhFvPQItj6xySrBmZkd'],album rock classic rock country rock rock roots rock southern rock swamp rock,1969,141.6,79,0.508,0.774,2,54.027,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946
2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground","['0EmeFodog0BfCgMzAIvKQp', '7AcV1lk8Zrgo1691PDWEle']",colombian pop dance pop latin latin pop pop afro soul afropop south african pop south african pop dance,2010,202.627,79,0.766,0.873,11,53.619,0,0.143,0.00627,0.0,0.0764,0.743,126.988
6ATgDc6e4sPn84hvJsAmPt,hate u love u,"""Olivia OBrien""",['1QRj3hoop9Mv5VvHQkwPEp'],alt z dance pop electropop indie cafe pop indie poptimism pop postteen pop,2016,175.467,79,0.407,0.416,6,51.085,0,0.174,0.656,0.0,0.0981,0.246,176.947
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,['7mEIug7XUlQHikrFxjTWes'],adult standards brill building pop folk folk rock mellow gold singersongwriter soft rock yacht rock,1969,203.573,79,0.529,0.127,11,43.934,1,0.0274,0.611,0.000109,0.237,0.578,63.05
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,['3WrFJ7ztbogyGnTHbHJFl2'],beatlesque british invasion classic rock merseybeat psychedelic rock rock,1969,259.947,79,0.533,0.376,9,48.087,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),Taylor Swift,['06HL4z0CvFAxyc27GXpf02'],pop postteen pop,2021,235.767,79,0.627,0.792,2,55.689,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,['4IWBUUAFIplrNtaOHcJPRM'],pop postteen pop talent show uk pop,2016,246.88,79,0.696,0.543,11,53.836,1,0.0489,0.308,0.0,0.0939,0.479,107.969
63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,['4lxfqrEsLX6N1N4OCSkILp'],mellow gold rock drums soft rock,2016,206.36,79,0.58,0.498,1,53.099,1,0.0277,0.198,0.0,0.132,0.111,116.271
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,"Sean Kingston, Justin Bieber","['6S0dmVVn4udvppDhZIWxCr', '1uNFoZAHBGtllmzznpCI3s']",dance pop miami hip hop pop postteen pop urban contemporary canadian pop pop postteen pop,2010,201.947,79,0.72,0.607,1,55.832,1,0.0322,0.0543,0.0,0.113,0.828,121.223
5w3CtwPT5e0k8zg2LyjvNN,Commitment Issues,Central Cee,['5H4yInM5zmHqpKIoMNAx4r'],,2021,150.66400000000002,79,0.8,0.71,5,53.597,0,0.295,0.463,0.0,0.339,0.795,147.171
